=== 実験 005: システム同定用 multi-sine 励振信号 ===
モーター: AK45-36 (ID: 1)
基準周波数: 4.0 Hz, 基準振幅: 1.5 Nm (瞬時最大: 2.850 Nm)
記録時間: 10.0 秒, サンプリング周期: 0.001 秒 (1000 Hz)
安全上限: 位置=3.14 rad, 速度=6.0 rad/s, トルク=10.0 Nm
ログ保存先: /home/pi/Research/y25m060_20260212/TMotorCANControl/my_ak45/Mujoco/data/raw/exp005_sysid_excitation_1786554555
==================================================
デバイスを初期化: AK45-36  ID: 1
Initializing CAN Manager
Connected on: socketcan channel 'can0'
デバイス制御を開始: AK45-36  ID: 1
位置ゼロ化を実行中...
ゼロ化完了
励振開始...
経過時間: 3.90 秒 | 指令トルク: -0.518 Nm | 実測トルク: -0.346 Nm | 位置: 0.738 rad | 速度: 2.923 rad/s
経過時間: 4.00 秒 | 指令トルク: 0.725 Nm | 実測トルク: 0.779 Nm | 位置: 0.609 rad | 速度: -4.198 rad/s
経過時間: 4.10 秒 | 指令トルク: 0.273 Nm | 実測トルク: 0.475 Nm | 位置: 0.541 rad | 速度: 3.732 rad/s
経過時間: 4.20 秒 | 指令トルク: -0.385 Nm | 実測トルク: -0.567 Nm | 位置: 0.783 rad | 速度: -2.229 rad/s
経過時間: 4.30 秒 | 指令トルク: 1.922 Nm | 実測トルク: 1.738 Nm | 位置: 0.459 rad | 速度: -0.479 rad/s
経過時間: 4.40 秒 | 指令トルク: -1.184 Nm | 実測トルク: -1.019 Nm | 位置: 0.743 rad | 速度: 3.231 rad/s
経過時間: 4.50 秒 | 指令トルク: 1.338 Nm | 実測トルク: 0.041 Nm | 位置: 0.604 rad | 速度: -4.840 rad/s
経過時間: 4.60 秒 | 指令トルク: 0.890 Nm | 実測トルク: 0.881 Nm | 位置: 0.519 rad | 速度: 4.133 rad/s
経過時間: 4.70 秒 | 指令トルク: -1.461 Nm | 実測トルク: -1.664 Nm | 位置: 0.775 rad | 速度: -2.281 rad/s
経過時間: 4.80 秒 | 指令トルク: 2.570 Nm | 実測トルク: 1.729 Nm | 位置: 0.424 rad | 速度: -1.429 rad/s
経過時間: 4.90 秒 | 指令トルク: -1.462 Nm | 実測トルク: -1.148 Nm | 位置: 0.719 rad | 速度: 4.130 rad/s
経過時間: 5.00 秒 | 指令トルク: 0.126 Nm | 実測トルク: -0.263 Nm | 位置: 0.602 rad | 速度: -4.702 rad/s
経過時間: 5.10 秒 | 指令トルク: 1.464 Nm | 実測トルク: 1.222 Nm | 位置: 0.521 rad | 速度: 3.832 rad/s
経過時間: 5.20 秒 | 指令トルク: -2.481 Nm | 実測トルク: -2.135 Nm | 位置: 0.801 rad | 速度: -1.238 rad/s
経過時間: 5.30 秒 | 指令トルク: 1.640 Nm | 実測トルク: 0.890 Nm | 位置: 0.462 rad | 速度: -1.915 rad/s
経過時間: 5.40 秒 | 指令トルク: -0.963 Nm | 実測トルク: -0.493 Nm | 位置: 0.756 rad | 速度: 4.245 rad/s
経過時間: 5.50 秒 | 指令トルク: -1.228 Nm | 実測トルク: -1.028 Nm | 位置: 0.654 rad | 速度: -4.289 rad/s
経過時間: 5.60 秒 | 指令トルク: 1.204 Nm | 実測トルク: 1.037 Nm | 位置: 0.565 rad | 速度: 3.111 rad/s
経過時間: 5.70 秒 | 指令トルク: -2.026 Nm | 実測トルク: -1.342 Nm | 位置: 0.822 rad | 速度: -0.714 rad/s
経過時間: 5.80 秒 | 指令トルク: 0.425 Nm | 実測トルク: 0.281 Nm | 位置: 0.493 rad | 速度: -1.464 rad/s
経過時間: 5.90 秒 | 指令トルク: -0.374 Nm | 実測トルク: 0.032 Nm | 位置: 0.763 rad | 速度: 3.368 rad/s
経過時間: 6.00 秒 | 指令トルク: -0.843 Nm | 実測トルク: -0.383 Nm | 位置: 0.652 rad | 速度: -3.635 rad/s
経過時間: 6.10 秒 | 指令トルク: 0.474 Nm | 実測トルク: 0.530 Nm | 位置: 0.572 rad | 速度: 2.979 rad/s
経過時間: 6.20 秒 | 指令トルク: -0.726 Nm | 実測トルク: -0.327 Nm | 位置: 0.808 rad | 速度: -1.320 rad/s
経過時間: 6.30 秒 | 指令トルク: 0.613 Nm | 実測トルク: 1.056 Nm | 位置: 0.501 rad | 速度: -0.400 rad/s
経過時間: 6.40 秒 | 指令トルク: -0.511 Nm | 実測トルク: -0.300 Nm | 位置: 0.767 rad | 速度: 2.826 rad/s
経過時間: 6.50 秒 | 指令トルク: 0.743 Nm | 実測トルク: 0.779 Nm | 位置: 0.630 rad | 速度: -4.057 rad/s
経過時間: 6.60 秒 | 指令トルク: 0.288 Nm | 実測トルク: 0.484 Nm | 位置: 0.557 rad | 速度: 3.911 rad/s
経過時間: 6.70 秒 | 指令トルク: -0.389 Nm | 実測トルク: -0.521 Nm | 位置: 0.798 rad | 速度: -2.340 rad/s
経過時間: 6.80 秒 | 指令トルク: 1.939 Nm | 実測トルク: 1.720 Nm | 位置: 0.471 rad | 速度: -0.561 rad/s
経過時間: 6.90 秒 | 指令トルク: -1.186 Nm | 実測トルク: -1.037 Nm | 位置: 0.752 rad | 速度: 3.152 rad/s
経過時間: 7.00 秒 | 指令トルク: 1.324 Nm | 実測トルク: -0.134 Nm | 位置: 0.611 rad | 速度: -5.045 rad/s
経過時間: 7.10 秒 | 指令トルク: 0.901 Nm | 実測トルク: 0.881 Nm | 位置: 0.524 rad | 速度: 4.338 rad/s
経過時間: 7.20 秒 | 指令トルク: -1.486 Nm | 実測トルク: -1.683 Nm | 位置: 0.780 rad | 速度: -2.346 rad/s
経過時間: 7.30 秒 | 指令トルク: 2.559 Nm | 実測トルク: 1.766 Nm | 位置: 0.422 rad | 速度: -1.446 rad/s
経過時間: 7.40 秒 | 指令トルク: -1.462 Nm | 実測トルク: -1.139 Nm | 位置: 0.710 rad | 速度: 4.072 rad/s
経過時間: 7.50 秒 | 指令トルク: 0.090 Nm | 実測トルク: -0.198 Nm | 位置: 0.592 rad | 速度: -4.963 rad/s
経過時間: 7.60 秒 | 指令トルク: 1.464 Nm | 実測トルク: 1.259 Nm | 位置: 0.505 rad | 速度: 3.773 rad/s
経過時間: 7.70 秒 | 指令トルク: -2.495 Nm | 実測トルク: -2.190 Nm | 位置: 0.778 rad | 速度: -1.347 rad/s
経過時間: 7.80 秒 | 指令トルク: 1.614 Nm | 実測トルク: 0.908 Nm | 位置: 0.423 rad | 速度: -2.126 rad/s
経過時間: 7.90 秒 | 指令トルク: -0.954 Nm | 実測トルク: -0.466 Nm | 位置: 0.704 rad | 速度: 4.262 rad/s
経過時間: 8.00 秒 | 指令トルク: -1.245 Nm | 実測トルク: -1.000 Nm | 位置: 0.590 rad | 速度: -4.227 rad/s
経過時間: 8.10 秒 | 指令トルク: 1.200 Nm | 実測トルク: 0.982 Nm | 位置: 0.482 rad | 速度: 2.932 rad/s
経過時間: 8.20 秒 | 指令トルク: -2.013 Nm | 実測トルク: -1.314 Nm | 位置: 0.728 rad | 速度: -0.734 rad/s
経過時間: 8.30 秒 | 指令トルク: 0.418 Nm | 実測トルク: 0.327 Nm | 位置: 0.394 rad | 速度: -1.601 rad/s
経過時間: 8.40 秒 | 指令トルク: -0.361 Nm | 実測トルク: 0.005 Nm | 位置: 0.658 rad | 速度: 3.330 rad/s
経過時間: 8.50 秒 | 指令トルク: -0.828 Nm | 実測トルク: -0.318 Nm | 位置: 0.542 rad | 速度: -3.442 rad/s
経過時間: 8.60 秒 | 指令トルク: 0.480 Nm | 実測トルク: 0.558 Nm | 位置: 0.457 rad | 速度: 3.070 rad/s
経過時間: 8.70 秒 | 指令トルク: -0.707 Nm | 実測トルク: -0.337 Nm | 位置: 0.698 rad | 速度: -1.212 rad/s
経過時間: 8.80 秒 | 指令トルク: 0.631 Nm | 実測トルク: 0.825 Nm | 位置: 0.391 rad | 速度: -0.593 rad/s
経過時間: 8.90 秒 | 指令トルク: -0.505 Nm | 実測トルク: -0.309 Nm | 位置: 0.667 rad | 速度: 2.905 rad/s
経過時間: 9.00 秒 | 指令トルク: 0.761 Nm | 実測トルク: 0.770 Nm | 位置: 0.541 rad | 速度: -4.151 rad/s
経過時間: 9.10 秒 | 指令トルク: 0.303 Nm | 実測トルク: 0.512 Nm | 位置: 0.464 rad | 速度: 3.858 rad/s
経過時間: 9.20 秒 | 指令トルク: -0.394 Nm | 実測トルク: -0.558 Nm | 位置: 0.696 rad | 速度: -2.325 rad/s
経過時間: 9.30 秒 | 指令トルク: 1.954 Nm | 実測トルク: 1.766 Nm | 位置: 0.361 rad | 速度: -0.629 rad/s
経過時間: 9.40 秒 | 指令トルク: -1.188 Nm | 実測トルク: -1.047 Nm | 位置: 0.630 rad | 速度: 3.005 rad/s
経過時間: 9.50 秒 | 指令トルク: 1.310 Nm | 実測トルク: -0.134 Nm | 位置: 0.486 rad | 速度: -4.875 rad/s
経過時間: 9.60 秒 | 指令トルク: 0.912 Nm | 実測トルク: 0.899 Nm | 位置: 0.391 rad | 速度: 3.925 rad/s
経過時間: 9.70 秒 | 指令トルク: -1.511 Nm | 実測トルク: -1.683 Nm | 位置: 0.639 rad | 速度: -2.501 rad/s
経過時間: 9.80 秒 | 指令トルク: 2.547 Nm | 実測トルク: 1.747 Nm | 位置: 0.274 rad | 速度: -1.540 rad/s
経過時間: 9.90 秒 | 指令トルク: -1.463 Nm | 実測トルク: -1.166 Nm | 位置: 0.557 rad | 速度: 3.823 rad/s
経過時間: 10.00 秒 | 指令トルク: 0.055 Nm | 実測トルク: -0.300 Nm | 位置: 0.435 rad | 速度: -4.986 rad/s
実行時間: 10.00 秒
サンプル数: 実測 10000 / 期待値 10000
デバイス制御を終了: AK45-36  ID: 1
ログ保存完了: /home/pi/Research/y25m060_20260212/TMotorCANControl/my_ak45/Mujoco/data/raw/exp005_sysid_excitation_1786554555
実験 005 完了
