=== 実験 005: システム同定用 multi-sine 励振信号 ===
モーター: AK45-36 (ID: 1)
基準周波数: 4.0 Hz, 基準振幅: 0.9 Nm (瞬時最大: 1.710 Nm)
記録時間: 10.0 秒, サンプリング周期: 0.001 秒 (1000 Hz)
安全上限: 位置=3.14 rad, 速度=6.0 rad/s, トルク=10.0 Nm
ログ保存先: /home/pi/Research/y25m060_20260212/TMotorCANControl/my_ak45/Mujoco/data/raw/exp005_sysid_excitation_1786559877
==================================================
デバイスを初期化: AK45-36  ID: 1
Initializing CAN Manager
Connected on: socketcan channel 'can0'
デバイス制御を開始: AK45-36  ID: 1
位置ゼロ化を実行中...
ゼロ化完了
励振開始...
経過時間: 0.00 秒 | 指令トルク: 0.119 Nm | 実測トルク: -0.014 Nm | 位置: 0.089 rad | 速度: -0.028 rad/s
経過時間: 0.10 秒 | 指令トルク: 0.878 Nm | 実測トルク: 0.733 Nm | 位置: 0.194 rad | 速度: 4.388 rad/s
経過時間: 0.20 秒 | 指令トルク: -1.471 Nm | 実測トルク: -1.203 Nm | 位置: 0.505 rad | 速度: 0.192 rad/s
経過時間: 0.30 秒 | 指令トルク: 1.015 Nm | 実測トルク: 0.567 Nm | 位置: 0.410 rad | 速度: 0.198 rad/s
経過時間: 0.40 秒 | 指令トルク: -0.588 Nm | 実測トルク: -0.337 Nm | 位置: 0.675 rad | 速度: 3.061 rad/s
経過時間: 0.50 秒 | 指令トルク: -0.714 Nm | 実測トルク: -0.752 Nm | 位置: 0.649 rad | 速度: -2.117 rad/s
経過時間: 0.60 秒 | 指令トルク: 0.727 Nm | 実測トルク: 0.567 Nm | 位置: 0.651 rad | 速度: 2.360 rad/s
経過時間: 0.70 秒 | 指令トルク: -1.230 Nm | 実測トルク: -0.936 Nm | 位置: 0.810 rad | 速度: -0.596 rad/s
経過時間: 0.80 秒 | 指令トルク: 0.265 Nm | 実測トルク: 0.143 Nm | 位置: 0.624 rad | 速度: -0.500 rad/s
経過時間: 0.90 秒 | 指令トルク: -0.241 Nm | 実測トルク: -0.005 Nm | 位置: 0.810 rad | 速度: 2.103 rad/s
経過時間: 1.00 秒 | 指令トルク: -0.524 Nm | 実測トルク: -0.290 Nm | 位置: 0.735 rad | 速度: -1.956 rad/s
経過時間: 1.10 秒 | 指令トルク: 0.279 Nm | 実測トルク: 0.281 Nm | 位置: 0.720 rad | 速度: 2.155 rad/s
経過時間: 1.20 秒 | 指令トルク: -0.459 Nm | 実測トルク: -0.263 Nm | 位置: 0.859 rad | 速度: -0.854 rad/s
経過時間: 1.30 秒 | 指令トルク: 0.346 Nm | 実測トルク: 0.401 Nm | 位置: 0.685 rad | 速度: 0.110 rad/s
経過時間: 1.40 秒 | 指令トルク: -0.315 Nm | 実測トルク: -0.198 Nm | 位置: 0.860 rad | 速度: 1.473 rad/s
経過時間: 1.50 秒 | 指令トルク: 0.424 Nm | 実測トルク: 0.420 Nm | 位置: 0.753 rad | 速度: -2.478 rad/s
経過時間: 1.60 秒 | 指令トルク: 0.155 Nm | 実測トルク: 0.244 Nm | 位置: 0.725 rad | 速度: 2.328 rad/s
経過時間: 1.70 秒 | 指令トルク: -0.229 Nm | 実測トルク: -0.300 Nm | 位置: 0.841 rad | 速度: -1.745 rad/s
経過時間: 1.80 秒 | 指令トルク: 1.143 Nm | 実測トルク: 1.056 Nm | 位置: 0.638 rad | 速度: 0.004 rad/s
経過時間: 1.90 秒 | 指令トルク: -0.709 Nm | 実測トルク: -0.613 Nm | 位置: 0.810 rad | 速度: 1.543 rad/s
経過時間: 2.00 秒 | 指令トルク: 0.810 Nm | 実測トルク: 0.466 Nm | 位置: 0.697 rad | 速度: -3.128 rad/s
経過時間: 2.10 秒 | 指令トルク: 0.527 Nm | 実測トルク: 0.558 Nm | 位置: 0.675 rad | 速度: 2.706 rad/s
経過時間: 2.20 秒 | 指令トルク: -0.862 Nm | 実測トルク: -0.917 Nm | 位置: 0.816 rad | 速度: -1.581 rad/s
経過時間: 2.30 秒 | 指令トルク: 1.549 Nm | 実測トルク: 1.083 Nm | 位置: 0.611 rad | 速度: -0.462 rad/s
経過時間: 2.40 秒 | 指令トルク: -0.877 Nm | 実測トルク: -0.687 Nm | 位置: 0.795 rad | 速度: 2.038 rad/s
