t,desired_torque,output_angle,output_velocity,current,output_torque,mosfet_temperature
0.0009999275207519531,0.11862234639147927,0.08869306477454764,-0.02783882783882774,-0.0031858074975819476,-0.013831501831501784,64
0.0019998550415039062,0.23517258538177774,-0.0001907377737087046,0.01904761904761898,0.0010619358325273157,0.004610500610500594,64
0.0029997825622558594,0.3476404402397623,-0.0001907377737087046,-0.04249084249084234,0.005309679162636579,0.02305250305250297,64
0.0039997100830078125,0.4541372303638874,-0.0001907377737087046,0.03076923076923066,0.026548395813182895,0.11526251526251485,64
0.004999637603759766,0.5529515770522676,-0.0001907377737087046,0.01904761904761898,0.039291625803510685,0.170588522588522,64
0.005999565124511719,0.6425991941318122,-0.0001907377737087046,0.05421245421245402,0.0669019574492209,0.29046153846153744,64
0.006999492645263672,0.7218651105311067,-0.0001907377737087046,0.03369963369963358,0.08814067409976721,0.3826715506715493,64
0.007999420166015625,0.789836930952679,0.0001907377737087046,0.11868131868131826,0.10300777575514963,0.44721855921855763,64
0.008999347686767578,0.84592804748597,0.0001907377737087046,0.10695970695970658,0.13274197906591448,0.5763125763125743,64
0.009999275207519531,0.8898900587439562,0.0001907377737087046,0.16263736263736295,0.14123746572613396,0.6131965811965832,64
0.010999202728271484,0.9218140220705209,0.0005722133211261138,0.1860805860805863,0.15822843904657102,0.6869645909645927,64
0.011999130249023438,0.9421205458520472,0.000953688868543523,0.25347985347985347,0.1561045673815164,0.6777435897435916,64
0.01299905776977539,0.9515391098461651,0.0013351644159609322,0.28278388278388267,0.17309554070195343,0.7515115995116011,64
0.013998985290527344,0.9510773686074289,0.0017166399633783413,0.35311355311355275,0.1773432840320627,0.7699536019536034,64
0.014998912811279297,0.9419815339136849,0.0020981155107957505,0.4205128205128208,0.1773432840320627,0.7699536019536034,64
0.01599884033203125,0.9256892348583199,0.0024795910582131597,0.44981684981685,0.19433425735249976,0.843721611721613,64
0.016998767852783203,0.9037765085673584,0.002861066605630569,0.5113553113553113,0.19645812901755438,0.8529426129426142,64
0.017998695373535156,0.8779007715945405,0.0036240177004653873,0.5875457875457872,0.17309554070195343,0.7515115995116011,64
0.01899862289428711,0.8497417551839745,0.004386968795300206,0.5934065934065931,0.17946715569711733,0.7791746031746045,64
0.019998550415039062,0.8209424522174799,0.004768444342717615,0.6520146520146524,0.1709716690368988,0.7422905982905998,64
0.020998477935791016,0.7930521175943415,0.005912870984969842,0.7047619047619049,0.1688477973718442,0.7330695970695986,64
0.02199840545654297,0.7674732872755733,0.006675822079804661,0.8073260073260071,0.16035231071162565,0.696185592185594,64
0.022998332977294922,0.7454146369430805,0.007438773174639479,0.8219780219780217,0.16460005404173492,0.7146275946275963,64
0.023998260498046875,0.7278512941934945,0.008201724269474298,0.8278388278388276,0.16035231071162565,0.696185592185594,64
0.024998188018798828,0.7154939555874834,0.009346150911726525,0.9304029304029307,0.15822843904657102,0.6869645909645927,64
0.02599811553955078,0.7087678508043433,0.010490577553978753,1.024175824175824,0.1369897223960247,0.5947545787545808,64
0.026998043060302734,0.7078022513065002,0.011253528648813571,1.024175824175824,0.14760908072129786,0.6408595848595867,64
0.027997970581054688,0.7124308522296013,0.012397955291065799,1.0212454212454212,0.12424649240569595,0.5394285714285695,64
0.02899789810180664,0.7222029764322084,0.013923857480735435,1.170695970695971,0.1348658507309691,0.5855335775335754,64
0.029997825622558594,0.7364051718965801,0.014686808575570254,1.1443223443223447,0.1369897223960247,0.5947545787545808,64
0.030997753143310547,0.7540924110281443,0.01621271076523989,1.2937728937728936,0.15398069571646175,0.6685225885225904,64
0.0319976806640625,0.7741277653925929,0.017357137407492118,1.2849816849816849,0.13061810740085983,0.567091575091573,64
0.03299760818481445,0.7952291336370927,0.018883039597161755,1.2879120879120878,0.1433613373911886,0.6224175824175844,64
0.033997535705566406,0.8160213539919324,0.020027466239413982,1.4490842490842493,0.15185682405140713,0.6593015873015892,64
0.03499746322631836,0.8350918443591001,0.02155336842908362,1.3963369963369967,0.16672392570678954,0.7238485958485975,64
0.03599739074707031,0.8510477890810556,0.023079270618753256,1.3904761904761909,0.1561045673815164,0.6777435897435916,64
0.036997318267822266,0.8625728363360127,0.024605172808422893,1.498901098901099,0.1433613373911886,0.6224175824175844,64
