=== 実験 005: システム同定用 multi-sine 励振信号 ===
モーター: AK45-36 (ID: 1)
基準周波数: 4.0 Hz, 基準振幅: 0.9 Nm (瞬時最大: 1.710 Nm)
記録時間: 10.0 秒, サンプリング周期: 0.001 秒 (1000 Hz)
安全上限: 位置=3.14 rad, 速度=6.0 rad/s, トルク=10.0 Nm
ログ保存先: /home/pi/Research/y25m060_20260212/TMotorCANControl/my_ak45/Mujoco/data/raw/exp005_sysid_excitation_1786560014
==================================================
デバイスを初期化: AK45-36  ID: 1
Initializing CAN Manager
Connected on: socketcan channel 'can0'
デバイス制御を開始: AK45-36  ID: 1
位置ゼロ化を実行中...
ゼロ化完了
励振開始...
経過時間: 3.90 秒 | 指令トルク: -0.311 Nm | 実測トルク: -0.217 Nm | 位置: 0.824 rad | 速度: 1.584 rad/s
経過時間: 4.00 秒 | 指令トルク: 0.435 Nm | 実測トルク: 0.420 Nm | 位置: 0.715 rad | 速度: -2.419 rad/s
経過時間: 4.10 秒 | 指令トルク: 0.164 Nm | 実測トルク: 0.281 Nm | 位置: 0.683 rad | 速度: 2.372 rad/s
経過時間: 4.20 秒 | 指令トルク: -0.231 Nm | 実測トルク: -0.300 Nm | 位置: 0.802 rad | 速度: -1.695 rad/s
経過時間: 4.30 秒 | 指令トルク: 1.153 Nm | 実測トルク: 0.991 Nm | 位置: 0.599 rad | 速度: 0.016 rad/s
経過時間: 4.40 秒 | 指令トルク: -0.710 Nm | 実測トルク: -0.595 Nm | 位置: 0.779 rad | 速度: 1.584 rad/s
経過時間: 4.50 秒 | 指令トルク: 0.803 Nm | 実測トルク: 0.429 Nm | 位置: 0.671 rad | 速度: -2.961 rad/s
経過時間: 4.60 秒 | 指令トルク: 0.534 Nm | 実測トルク: 0.503 Nm | 位置: 0.651 rad | 速度: 2.891 rad/s
経過時間: 4.70 秒 | 指令トルク: -0.877 Nm | 実測トルク: -0.964 Nm | 位置: 0.797 rad | 速度: -1.663 rad/s
経過時間: 4.80 秒 | 指令トルク: 1.542 Nm | 実測トルク: 1.111 Nm | 位置: 0.589 rad | 速度: -0.544 rad/s
経過時間: 4.90 秒 | 指令トルク: -0.877 Nm | 実測トルク: -0.705 Nm | 位置: 0.773 rad | 速度: 2.152 rad/s
経過時間: 5.00 秒 | 指令トルク: 0.076 Nm | 実測トルク: -0.217 Nm | 位置: 0.679 rad | 速度: -3.143 rad/s
経過時間: 5.10 秒 | 指令トルク: 0.878 Nm | 実測トルク: 0.724 Nm | 位置: 0.653 rad | 速度: 2.460 rad/s
経過時間: 5.20 秒 | 指令トルク: -1.488 Nm | 実測トルク: -1.286 Nm | 位置: 0.805 rad | 速度: -1.156 rad/s
経過時間: 5.30 秒 | 指令トルク: 0.984 Nm | 実測トルク: 0.586 Nm | 位置: 0.593 rad | 速度: -0.980 rad/s
