t,wall_time,desired_torque,output_angle,output_velocity,current,output_torque,mosfet_temperature
0.0009999275207519531,0.0012235641479492188,0.11862234639147927,0.10204470893415696,0.00146520146520146,-0.0031858074975819476,-0.013831501831501784,65
0.0019998550415039062,0.002118349075317383,0.23517258538177774,-0.0001907377737087046,0.00439560439560438,-0.0031858074975819476,-0.013831501831501784,65
0.0029997825622558594,0.0030837059020996094,0.3476404402397623,-0.0001907377737087046,-0.0073260073260073,0.0031858074975819476,0.013831501831501784,65
0.0039997100830078125,0.0040738582611083984,0.4541372303638874,-0.0001907377737087046,-0.03076923076923066,0.024424524148128263,0.10604151404151366,65
0.004999637603759766,0.00511932373046875,0.5529515770522676,-0.0001907377737087046,0.00146520146520146,0.04141549746856532,0.1798095238095232,65
0.005999565124511719,0.006136178970336914,0.6425991941318122,-0.0001907377737087046,0.00146520146520146,0.06477808578416626,0.2812405372405362,65
0.006999492645263672,0.007079124450683594,0.7218651105311067,-0.0001907377737087046,0.03956043956043942,0.08389293076965794,0.3642295482295469,65
0.007999420166015625,0.008073806762695312,0.789836930952679,0.0001907377737087046,0.07472527472527446,0.10513164742020427,0.4564395604395588,65
0.008999347686767578,0.009064674377441406,0.84592804748597,0.0001907377737087046,0.1391941391941396,0.12424649240569595,0.5394285714285695,65
0.009999275207519531,0.010052680969238281,0.8898900587439562,0.0001907377737087046,0.11282051282051242,0.1433613373911886,0.6224175824175844,65
0.010999202728271484,0.011053085327148438,0.9218140220705209,0.0005722133211261138,0.22124542124542135,0.1561045673815164,0.6777435897435916,65
0.011999130249023438,0.012052297592163086,0.9421205458520472,0.000953688868543523,0.22124542124542135,0.1561045673815164,0.6777435897435916,65
0.01299905776977539,0.013050317764282227,0.9515391098461651,0.000953688868543523,0.3032967032967031,0.1688477973718442,0.7330695970695986,65
0.013998985290527344,0.014049291610717773,0.9510773686074289,0.0013351644159609322,0.3472527472527469,0.17946715569711733,0.7791746031746045,65
0.014998912811279297,0.015050172805786133,0.9419815339136849,0.0017166399633783413,0.3736263736263732,0.1900865140223905,0.8252796092796105,65
0.01599884033203125,0.016048192977905273,0.9256892348583199,0.0024795910582131597,0.4087912087912091,0.17946715569711733,0.7791746031746045,65
0.016998767852783203,0.017049551010131836,0.9037765085673584,0.002861066605630569,0.5142857142857142,0.18583877069228122,0.8068376068376081,65
0.017998695373535156,0.018047809600830078,0.8779007715945405,0.0036240177004653873,0.5494505494505493,0.18159102736217198,0.7883956043956059,65
0.01899862289428711,0.019050121307373047,0.8497417551839745,0.0040054932478827965,0.663736263736264,0.17521941236700808,0.7607326007326023,65
0.019998550415039062,0.020048141479492188,0.8209424522174799,0.004768444342717615,0.701831501831502,0.17521941236700808,0.7607326007326023,65
0.020998477935791016,0.02104973793029785,0.7930521175943415,0.005531395437552433,0.6959706959706962,0.16672392570678954,0.7238485958485975,65
0.02199840545654297,0.0220487117767334,0.7674732872755733,0.006294346532387252,0.8249084249084246,0.1709716690368988,0.7422905982905998,65
0.022998332977294922,0.02304697036743164,0.7454146369430805,0.007438773174639479,0.8600732600732597,0.1561045673815164,0.6777435897435916,65
0.023998260498046875,0.024047136306762695,0.7278512941934945,0.008201724269474298,0.8366300366300363,0.1688477973718442,0.7330695970695986,65
0.024998188018798828,0.02504730224609375,0.7154939555874834,0.008964675364309116,0.9098901098901102,0.1497329523863525,0.650080586080588,65
0.02599811553955078,0.0260465145111084,0.7087678508043433,0.010109102006561344,0.991941391941392,0.1433613373911886,0.6224175824175844,65
0.026998043060302734,0.027046680450439453,0.7078022513065002,0.011253528648813571,1.1091575091575088,0.13274197906591448,0.5763125763125743,65
0.027997970581054688,0.0280458927154541,0.7124308522296013,0.012397955291065799,1.0534798534798533,0.1369897223960247,0.5947545787545808,65
0.02899789810180664,0.029046058654785156,0.7222029764322084,0.013542381933318026,1.1091575091575088,0.1369897223960247,0.5947545787545808,65
0.029997825622558594,0.030046463012695312,0.7364051718965801,0.014686808575570254,1.202930402930403,0.1561045673815164,0.6777435897435916,65
0.030997753143310547,0.03106522560119629,0.7540924110281443,0.01583123521782248,1.2175824175824177,0.13061810740085983,0.567091575091573,65
0.0319976806640625,0.03206634521484375,0.7741277653925929,0.017357137407492118,1.1941391941391943,0.13911359406107934,0.6039755799755822,65
0.03299760818481445,0.03305554389953613,0.7952291336370927,0.018501564049744346,1.279120879120879,0.14548520905624324,0.6316385836385856,65
0.033997535705566406,0.03405046463012695,0.8160213539919324,0.020027466239413982,1.314285714285714,0.13911359406107934,0.6039755799755822,65
0.03499746322631836,0.03504681587219238,0.8350918443591001,0.02155336842908362,1.4402930402930405,0.1561045673815164,0.6777435897435916,65
0.03599739074707031,0.03604578971862793,0.8510477890810556,0.022697795071335847,1.3728937728937725,0.15398069571646175,0.6685225885225904,65
0.036997318267822266,0.03704714775085449,0.8625728363360127,0.024223697261005483,1.4168498168498171,0.15185682405140713,0.6593015873015892,65
0.03799724578857422,0.03804659843444824,0.868481285640196,0.02574959945067512,1.5897435897435894,0.15398069571646175,0.6685225885225904,65
0.03899717330932617,0.0390467643737793,0.8677678306269277,0.027275501640344757,1.6571428571428575,0.17521941236700808,0.7607326007326023,65
0.039997100830078125,0.04004693031311035,0.8596510751682384,0.029182879377431803,1.5809523809523807,0.16460005404173492,0.7146275946275963,65
0.04099702835083008,0.0410463809967041,0.8436092557371814,0.03070878156710144,1.7655677655677655,0.16460005404173492,0.7146275946275963,65
0.04199695587158203,0.04205751419067383,0.819406872268842,0.032616159304188486,1.712820512820513,0.17309554070195343,0.7515115995116011,65
0.042996883392333984,0.04304933547973633,0.7871112443719696,0.03452353704127553,1.8652014652014648,0.16035231071162565,0.696185592185594,65
0.04399681091308594,0.044051408767700195,0.7470983587146544,0.03604943923094517,1.8300366300366298,0.15185682405140713,0.6593015873015892,65
0.04499673843383789,0.04504799842834473,0.7000477447108936,0.037956816968032214,1.8476190476190473,0.15185682405140713,0.6593015873015892,65
0.045996665954589844,0.04604673385620117,0.6469264964512323,0.04024567025253667,2.005860805860806,0.16035231071162565,0.696185592185594,65
0.0469965934753418,0.047046661376953125,0.5889629359995359,0.042153047989623715,1.9677655677655679,0.1369897223960247,0.5947545787545808,65
0.04799652099609375,0.048050880432128906,0.5276107736912481,0.04406042572671076,1.92967032967033,0.13911359406107934,0.6039755799755822,65
0.0489964485168457,0.049057722091674805,0.46450495245991824,0.046349279011215216,2.076190476190476,0.13061810740085983,0.567091575091573,65
0.049996376037597656,0.05004715919494629,0.401410654033391,0.04825665674830226,2.0879120879120876,0.10513164742020427,0.4564395604395588,65
0.05099630355834961,0.05104684829711914,0.3401671850206713,0.05054551003280672,2.181684981684981,0.09876003242504038,0.4287765567765553,65
0.05199623107910156,0.05204582214355469,0.28262864214062106,0.05283436331731117,2.1699633699633694,0.100883904090095,0.43799755799755646,65
0.052996158599853516,0.05304598808288574,0.23060337184051014,0.05474174105439822,2.067399267399267,0.07752131577449405,0.33656654456654334,65
0.05399608612060547,0.05404496192932129,0.18579428627997516,0.057030594338902674,2.2461538461538453,0.0669019574492209,0.29046153846153744,65
0.05499601364135742,0.05504584312438965,0.14974207346503204,0.05931944762340713,2.1963369963369956,0.06053034245405701,0.26279853479853393,65
0.055995941162109375,0.0560460090637207,0.1237732450026907,0.061226825360494175,2.1201465201465197,0.04991098412878384,0.21669352869352793,65
0.05699586868286133,0.05704474449157715,0.10895480372171049,0.06351567864499863,2.225641025641025,0.03716775413845605,0.16136752136752078,65
0.05799579620361328,0.05804920196533203,0.10605709078803476,0.06580453192950309,2.2432234432234424,0.04141549746856532,0.1798095238095232,65
0.058995723724365234,0.05904722213745117,0.11552609556994635,0.06809338521400754,2.2959706959706967,0.03292001080834679,0.1429255189255184,65
